close,low,volume,open,high
4551.009765625,4550.919921875,7250361,4551.75,4552.009765625
4550.7900390625,4550.509765625,6784115,4550.7001953125,4551.3701171875
4549.6201171875,4549.6201171875,6198665,4550.7998046875,4550.7998046875
4551.3798828125,4549.58984375,6355059,4549.58984375,4551.81982421875
4551.22998046875,4550.669921875,6718429,4551.27978515625,4551.7998046875
4550.18994140625,4550.08984375,5398664,4551.1201171875,4551.25
4552.91015625,4549.5400390625,8539185,4550.2001953125,4553.5400390625
4550.5498046875,4550.52978515625,6546271,4552.97998046875,4553.06982421875
4549.39990234375,4549.22021484375,6322068,4550.60986328125,4551.3701171875
4550.1201171875,4549.47021484375,5610813,4549.47021484375,4550.509765625
4549.27978515625,4549.27001953125,5157229,4550.02978515625,4550.02978515625
4549.5,4548.81982421875,5560563,4549.27978515625,4549.7900390625
4552.169921875,4549.39013671875,6287267,4549.39013671875,4552.5
4550.64013671875,4550.22021484375,5555489,4552.02978515625,4552.1298828125
4550.81982421875,4550.52978515625,5848442,4550.52978515625,4551.97021484375
4550.81982421875,4550.509765625,4690587,4550.81005859375,4550.9501953125
4550.39013671875,4550.080078125,5787392,4550.85986328125,4550.85986328125
4551.490234375,4550.27001953125,4811142,4550.41015625,4551.490234375
4551.14990234375,4550.91015625,5098973,4551.4599609375,4551.77978515625
4551.3701171875,4550.47021484375,5319727,4551.080078125,4551.8701171875
4551.52978515625,4550.06005859375,5333848,4551.31982421875,4551.52978515625
4551.08984375,4550.81005859375,5617794,4551.5498046875,4551.85009765625
4551.89990234375,4550.83984375,4707146,4551.06005859375,4552.18017578125
4550.85986328125,4550.77001953125,5651972,4552.0400390625,4552.169921875
4548.43017578125,4548.43017578125,5503335,4550.81982421875,4550.81982421875
4549.14013671875,4548.25,5996578,4548.5,4549.18017578125
4549.14990234375,4548.4599609375,4611655,4549.1201171875,4549.27978515625
4547.5400390625,4546.91015625,6258666,4549.16015625,4549.16015625
4546.77978515625,4546.72021484375,4113664,4547.490234375,4547.5
4548.7998046875,4546.75,6042889,4546.81982421875,4548.89013671875
4547.31005859375,4547.259765625,4535483,4548.68017578125,4548.68017578125
4547.47021484375,4547.3798828125,4951022,4547.41015625,4547.9501953125
4547.3798828125,4547.16015625,5265540,4547.43994140625,4547.68017578125
4548.580078125,4547.47021484375,9914157,4547.47021484375,4548.89990234375
4547.75,4547.5400390625,6191672,4548.56005859375,4548.56005859375
4548.27978515625,4547.22998046875,5683228,4547.58984375,4548.27978515625
4547.77001953125,4547.77001953125,5144497,4548.259765625,4548.91015625
4547.52978515625,4547.52978515625,5765794,4547.740234375,4548.10009765625
4548.14013671875,4547.39013671875,4361450,4547.43994140625,4548.2099609375
4549.7998046875,4547.77978515625,4594534,4548.14990234375,4549.83984375
