close,low,volume,open,high
188.96499633789063,188.9600067138672,45621,189.03500366210938,189.0399932861328
188.9199981689453,188.9199981689453,30902,188.9600067138672,188.98500061035156
188.90499877929688,188.88999938964844,36600,188.9210968017578,188.93499755859375
189.0052947998047,188.89999389648438,57313,188.90499877929688,189.00999450683594
189.07000732421875,189.0,78230,189.00999450683594,189.08999633789063
189.0399932861328,189.00999450683594,54009,189.07290649414063,189.0850067138672
189.0399932861328,189.0,37513,189.0399932861328,189.05990600585938
189.0500030517578,189.0,25996,189.0399932861328,189.06500244140625
188.99989318847656,188.92999267578125,81063,189.0500030517578,189.0500030517578
188.96499633789063,188.9600067138672,34967,188.99000549316406,189.01499938964844
189.02499389648438,188.9600067138672,45399,188.9600067138672,189.0469970703125
189.05979919433594,189.00140380859375,40875,189.02000427246094,189.05979919433594
189.04969787597656,189.02999877929688,32385,189.0500030517578,189.05999755859375
189.11000061035156,189.02999877929688,51649,189.0399932861328,189.1300048828125
189.01170349121094,189.0,44305,189.11500549316406,189.11680603027344
189.0500030517578,188.99000549316406,53180,189.00999450683594,189.05020141601563
189.0500030517578,188.96099853515625,48106,189.0500030517578,189.05999755859375
188.89500427246094,188.88999938964844,86470,189.0417938232422,189.06900024414063
188.8800048828125,188.86000061035156,59820,188.89999389648438,188.90989685058594
188.88499450683594,188.86000061035156,72636,188.875,188.89999389648438
188.875,188.85000610351563,54013,188.88099670410156,188.91000366210938
188.8300018310547,188.77499389648438,69413,188.8699951171875,188.8699951171875
188.83999633789063,188.8000030517578,66689,188.83999633789063,188.85000610351563
188.73500061035156,188.72999572753906,93264,188.83999633789063,188.86000061035156
188.7899932861328,188.72000122070313,60749,188.73500061035156,188.8300018310547
188.84500122070313,188.77999877929688,74944,188.78500366210938,188.8800048828125
188.8350067138672,188.8300018310547,61753,188.86000061035156,188.88999938964844
188.89500427246094,188.80999755859375,68165,188.83999633789063,188.89999389648438
188.86500549316406,188.86000061035156,52204,188.89999389648438,188.92990112304688
188.83900451660156,188.8300018310547,49479,188.8800048828125,188.89999389648438
188.8249969482422,188.82000732421875,39799,188.8350067138672,188.8800048828125
188.7799072265625,188.77000427246094,61517,188.8249969482422,188.8300018310547
188.86000061035156,188.74000549316406,94440,188.77000427246094,188.86000061035156
188.8831024169922,188.8300018310547,60689,188.86000061035156,188.89999389648438
188.88999938964844,188.85000610351563,58670,188.8800048828125,188.88999938964844
188.88279724121094,188.86000061035156,72211,188.88499450683594,188.92999267578125
188.86500549316406,188.86000061035156,84620,188.88999938964844,188.97000122070313
188.91639709472656,188.85009765625,53641,188.86500549316406,188.9199981689453
