close,low,volume,open,high
357.0400085449219,357.0400085449219,15282,357.0400085449219,357.0400085449219
357.2200012207031,356.9599914550781,6314,357.1000061035156,357.2200012207031
357.30999755859375,357.1700134277344,4340,357.19000244140625,357.3299865722656
357.30999755859375,357.04998779296875,128768,357.2799987792969,357.8299865722656
357.0799865722656,357.0,17795,357.510009765625,357.57000732421875
357.0150146484375,357.0,8528,357.10198974609375,357.20001220703125
357.1184997558594,356.8999938964844,6642,357.1000061035156,357.239990234375
357.1449890136719,357.0299987792969,7187,357.0299987792969,357.20001220703125
357.114990234375,357.05999755859375,8221,357.25,357.30999755859375
357.114990234375,356.9154968261719,4906,357.1400146484375,357.19580078125
356.8699951171875,356.8500061035156,5884,357.07000732421875,357.07000732421875
357.30999755859375,356.8699951171875,4587,356.8699951171875,357.30999755859375
357.2149963378906,357.1600036621094,3876,357.30999755859375,357.30999755859375
357.5299987792969,357.2200012207031,5518,357.2200012207031,357.5799865722656
357.6300048828125,357.42999267578125,4496,357.5199890136719,357.6300048828125
357.20001220703125,357.1600036621094,27886,357.45001220703125,357.58990478515625
357.1499938964844,357.1499938964844,5299,357.239990234375,357.3299865722656
356.989990234375,356.8747863769531,7439,357.04010009765625,357.04010009765625
357.0400085449219,356.9150085449219,9286,356.9552001953125,357.1099853515625
357.0,356.8800048828125,4270,356.97430419921875,357.0350036621094
357.0150146484375,356.9530944824219,4768,357.0400085449219,357.07000732421875
356.8500061035156,356.8500061035156,6754,356.92999267578125,357.0693054199219
356.8999938964844,356.8299865722656,8523,356.94000244140625,357.010009765625
356.3999938964844,356.3999938964844,22488,356.7799987792969,356.8450012207031
356.3299865722656,356.3299865722656,11172,356.44000244140625,356.4599914550781
356.20001220703125,355.8500061035156,44112,356.3500061035156,356.3999938964844
356.04998779296875,356.04998779296875,7793,356.1499938964844,356.25360107421875
356.1400146484375,355.8999938964844,14873,355.9906005859375,356.3179931640625
356.1300048828125,356.0,25418,356.2699890136719,356.32000732421875
355.8500061035156,355.8500061035156,13648,356.0350036621094,356.1300048828125
355.260009765625,355.260009765625,17439,355.8500061035156,356.0238037109375
355.1000061035156,355.1000061035156,15799,355.260009765625,355.3699951171875
354.8717041015625,354.69000244140625,31005,355.04998779296875,355.0899963378906
355.0899963378906,354.7001037597656,8791,354.8399963378906,355.0899963378906
354.989990234375,354.92999267578125,5856,355.1099853515625,355.1131896972656
355.01251220703125,354.80999755859375,7983,354.9100036621094,355.0203857421875
355.4798889160156,355.0400085449219,4291,355.04998779296875,355.4798889160156
355.57000732421875,355.44000244140625,13258,355.5350036621094,355.67498779296875
355.489990234375,355.3699951171875,5647,355.57861328125,355.6600036621094
355.260009765625,355.25,4680,355.4800109863281,355.4800109863281
355.17999267578125,355.1700134277344,2967,355.2749938964844,355.2749938964844
354.9849853515625,354.9700012207031,14447,355.17999267578125,355.2200012207031
354.6650085449219,354.6650085449219,5972,355.0166931152344,355.0166931152344
354.7051086425781,354.3999938964844,19189,354.6499938964844,354.82000732421875
354.6449890136719,354.6199951171875,1081,354.6199951171875,354.6449890136719
354.6099853515625,354.6099853515625,5790,354.68231201171875,354.85009765625
354.67999267578125,354.6199951171875,6250,354.6199951171875,354.8599853515625
354.5762939453125,354.5400085449219,4990,354.8204040527344,354.8204040527344
354.3699951171875,354.32000732421875,8346,354.489990234375,354.489990234375
354.375,354.2850036621094,9787,354.32000732421875,354.44000244140625
355.03369140625,354.375,17431,354.375,355.03369140625
354.9100036621094,354.9100036621094,4940,355.0950012207031,355.1499938964844
354.8999938964844,354.8500061035156,7541,354.8999938964844,355.0299987792969
354.6470947265625,354.6099853515625,12920,354.9100036621094,355.04998779296875
354.6075134277344,354.4700012207031,4910,354.62249755859375,354.62249755859375
354.32000732421875,354.2001037597656,8113,354.5840148925781,354.5840148925781
354.04791259765625,353.8900146484375,23975,354.27911376953125,354.2850036621094
354.4200134277344,354.1000061035156,18687,354.1000061035156,354.6000061035156
354.1600036621094,354.1600036621094,6869,354.42999267578125,354.42999267578125
354.3900146484375,354.2300109863281,2591,354.2300109863281,354.3900146484375
354.3500061035156,354.239990234375,6131,354.2799987792969,354.4104919433594
354.3399963378906,354.1853942871094,8116,354.3500061035156,354.3800048828125
354.5199890136719,354.3699951171875,10688,354.3699951171875,354.6499938964844
354.70001220703125,354.50689697265625,9061,354.5950012207031,354.8399963378906
354.95001220703125,354.772705078125,7490,354.9800109863281,355.0
354.8349914550781,354.760009765625,2535,354.9049072265625,354.9049072265625
354.8349914550781,354.7900085449219,4799,354.8399963378906,354.8876037597656
354.8196105957031,354.8196105957031,4106,354.9200134277344,355.010009765625
354.9700012207031,354.8999938964844,2270,354.8999938964844,354.9700012207031
354.8999938964844,354.80010986328125,2977,354.94219970703125,354.98809814453125
354.5,354.42999267578125,8362,354.79998779296875,354.8398132324219
354.6000061035156,354.49468994140625,3547,354.52679443359375,354.6300048828125
354.4100036621094,354.20001220703125,25397,354.510009765625,354.57000732421875
354.2099914550781,354.07000732421875,10384,354.2699890136719,354.29998779296875
354.07000732421875,354.0299987792969,6124,354.1383972167969,354.20001220703125
354.1050109863281,354.0400085449219,5618,354.1099853515625,354.239990234375
354.0299987792969,353.8399963378906,6191,354.0400085449219,354.093994140625
353.94000244140625,353.94000244140625,3606,353.9549865722656,354.0799865722656
354.1838073730469,353.8800048828125,4596,353.8800048828125,354.1838073730469
353.94000244140625,353.94000244140625,4911,354.114990234375,354.114990234375
354.01129150390625,353.94000244140625,5517,353.94000244140625,354.1099853515625
